Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
25,B-0042,236028,2008,Jeep,Wrangler,Unlimited X,GREEN,120771,Yes,3.2,2026-08-13,B
14,B-0059,236069,2015,Jeep,Renegade,Sport,WHITE,120854,No,"",2026-08-13,B
51,B-0084,236190,2016,Toyota,Sienna,XLE 8 Passenger,GRAY,162200,Yes,1.8,2026-08-13,B
15,B-0094,236147,2012,Land Rover,LR4,LUX,WHITE,166871,No,"",2026-08-13,B
15,B-0098,236160,2010,Ford,F150,XL,WHITE,94880,No,"",2026-08-13,B
14,BB-0017,235837,2014,Subaru,Forester,2.0XT Touring,SILVER,181587,No,"",2026-08-13,BB
30,C-0006,1007089,2020,Jeep,Gladiator,Rubicon,SILVER,93001,Yes,4.0,2026-08-13,C
26,D-0007,1007162,2026,BMW,X5,XDrive40i,WHITE,21781,Yes,4.6,2026-08-13,D
22,D-0013,235602,2026,BMW,X5,M60i,GREEN,12201,Yes,4.5,2026-08-13,D
21,D-0028,235991,2026,BMW,8-Series,840i,BLACK,5580,Yes,4.5,2026-08-13,D
20,D-0029,235183,2024,BMW,X5,XDrive40i,GRAY,45510,Yes,4.3,2026-08-13,D
20,D-0035,235547,2024,Ford,Edge,SEL,BLACK,65333,Yes,3.7,2026-08-13,D
18,D-0041,235377,2020,BMW,M4,CS,WHITE,72928,Yes,3.1,2026-08-13,D
25,D-0053,235525,2022,Mercedes-Benz,GLC,300 4MATIC SUV,BLACK,68989,Yes,3.6,2026-08-13,D
32,D-0056,235566,2021,Audi,Q5,Premium Plus,SILVER,79040,Yes,2.9,2026-08-13,D
17,D-0057,235025,2026,Mercedes-Benz,GLE,GLE 350 4MATIC SUV,BLACK,13615,Yes,4.4,2026-08-13,D
17,D-0058,235027,2026,Mercedes-Benz,GLE,GLE 350 4MATIC SUV,BLACK,13019,Yes,4.4,2026-08-13,D
16,D-0059,235045,2026,Mercedes-Benz,GLE,GLE 350 4MATIC SUV,BLACK,10978,Yes,4.4,2026-08-13,D
14,D-0060,234933,2026,Audi,Q8,Prestige,WHITE,5664,Yes,5.0,2026-08-13,D
22,D-0091,236144,2020,Audi,Q8,Premium Plus,BLACK,95017,Yes,4.1,2026-08-13,D
17,D-0095,234756,2022,Land Rover,Range Rover Sport,SVR,BLACK,80274,Yes,3.9,2026-08-13,D
14,D-0096,235909,2019,Audi,Q8,Premium,GRAY,97810,No,"",2026-08-13,D
19,D-0098,234888,2020,Jeep,Wrangler,Unlimited Sport Altitude,RED,67642,Yes,3.5,2026-08-13,D
21,D-0100,234624,2024,BMW,X5,XDrive40i,BLUE,29320,Yes,3.7,2026-08-13,D
23,D-0101,234980,2020,Audi,SQ5,Premium Plus,BLACK,85432,Yes,3.9,2026-08-13,D
30,D-0105,235321,2023,Land Rover,Range Rover Sport,SE Dynamic,RED,40717,Yes,4.0,2026-08-13,D
20,D-0106,235320,2023,Ford,F150,XLT,WHITE,11225,Yes,4.5,2026-08-13,D
30,D-0116,234720,2023,Mercedes-Benz,GLE,350 4MATIC,GREEN,33581,Yes,3.1,2026-08-13,D
28,D-0137,235094,2021,Chevrolet,Spark,1LT,SILVER,69210,Yes,3.1,2026-08-13,D
25,D-0139,234844,2015,Honda,CR-V,LX,GRAY,103301,Yes,2.9,2026-08-13,D
15,D-0142,235538,2019,Audi,Q7,Prestige,GRAY,83818,No,"",2026-08-13,D
14,D-0148,234270,2018,Ram,1500,Laramie,WHITE,164037,Yes,3.4,2026-08-13,D
24,D-0160,235507,2017,Ford,F350SD,Lariat,BLUE,65340,Yes,3.6,2026-08-13,D
21,D-0168,234048,2011,Ford,F150,XLT,TAN,169744,Yes,4.2,2026-08-13,D
52,DD-0014,1007060,2016,Honda,Pilot,EX-L,SILVER,251094,Yes,1.0,2026-08-13,DD
31,T-0005,1006887,2018,Mercedes-Benz,CLA,250 4MATIC,BLUE,82258,Yes,2.0,2026-08-13,T
